,Artists,Links
0,The Beatles,https://www.azlyrics.com/b/beatles.html
1,Elvis Presley,https://www.azlyrics.com/e/elvis.html
2,Michael Jackson,https://www.azlyrics.com/j/jackson.html
3,Madonna,https://www.azlyrics.com/m/madonna.html
4,Elton John,https://www.azlyrics.com/j/john.html
5,Led Zeppelin,https://www.azlyrics.com/l/ledzeppelin.html
6,Pink Floyd,https://www.azlyrics.com/p/pinkfloyd.html
7,Rihanna,https://www.azlyrics.com/r/rihanna.html
8,Eminem,https://www.azlyrics.com/e/eminem.html
9,Mariah Carey,https://www.azlyrics.com/m/mariahcarey.html
10,Queen,https://www.azlyrics.com/q/queen.html
11,Celine Dion,https://www.azlyrics.com/d/dion.html
12,Whitney Houston,https://www.azlyrics.com/h/houston.html
13,AC/DC,https://www.azlyrics.com/a/acdc.html
14,The Rolling Stones,https://www.azlyrics.com/r/rollingstones.html
15,ABBA,https://www.azlyrics.com/a/abba.html
16,Taylor Swift,https://www.azlyrics.com/t/taylorswift.html
17,Garth Brooks,https://www.azlyrics.com/b/brooks.html
18,Eagles,https://www.azlyrics.com/e/eagles.html
19,U2,https://www.azlyrics.com/u/u2band.html
20,Billy Joel,https://www.azlyrics.com/b/billyjoel.html
21,Phil Collins,https://www.azlyrics.com/c/collins.html
22,Aerosmith,https://www.azlyrics.com/a/aerosmith.html
23,Frank Sinatra,https://www.azlyrics.com/f/franksinatra.html
24,Barbra Streisand,https://www.azlyrics.com/b/barbrastreisand.html
25,Justin Bieber,https://www.azlyrics.com/j/justinbieber.html
26,Bruno Mars,https://www.azlyrics.com/b/brunomars.html
27,Ed Sheeran,https://www.azlyrics.com/e/edsheeran.html
28,Kanye West,https://www.azlyrics.com/w/west.html
29,Bruce Springsteen,https://www.azlyrics.com/s/springsteen.html
30,Metallica,https://www.azlyrics.com/m/metallica.html
31,Bee Gees,https://www.azlyrics.com/b/beegees.html
32,Lady Gaga,https://www.azlyrics.com/l/ladygaga.html
33,Katy Perry,https://www.azlyrics.com/k/katyperry.html
34,Adele,https://www.azlyrics.com/a/adele.html
35,Jay-Z,https://www.azlyrics.com/j/jayz.html
36,Lil Wayne,https://www.azlyrics.com/l/lilwayne.html
37,Bon Jovi,https://www.azlyrics.com/b/bonjovi.html
38,Beyonce,https://www.azlyrics.com/k/knowles.html
39,Linkin Park,https://www.azlyrics.com/l/linkinpark.html
40,Coldplay,https://www.azlyrics.com/c/coldplay.html
41,Britney Spears,https://www.azlyrics.com/s/spears.html
42,Rod Stewart,https://www.azlyrics.com/s/stewart.html
43,Fleetwood Mac,https://www.azlyrics.com/f/fleetwood.html
44,Guns N' Roses,https://www.azlyrics.com/g/guns.html
45,George Strait,https://www.azlyrics.com/s/strait.html
46,Backstreet Boys,https://www.azlyrics.com/b/bsb.html
47,Neil Diamond,https://www.azlyrics.com/n/neildiamond.html
48,Santana,https://www.azlyrics.com/s/santana.html
49,Prince,https://www.azlyrics.com/p/prince.html
50,Kenny Rogers,https://www.azlyrics.com/k/kennyrogers.html
51,Paul McCartney,https://www.azlyrics.com/p/paulmccartney.html
52,Simon Garfunkel,https://www.azlyrics.com/s/simongarfunkel.html
53,Janet Jackson,https://www.azlyrics.com/j/janete.html
54,Chicago,https://www.azlyrics.com/c/chicago.html
55,Dire Straits,https://www.azlyrics.com/d/direstraits.html
56,Bob Dylan,https://www.azlyrics.com/d/dylan.html
57,Def Leppard,https://www.azlyrics.com/d/defleppard.html
58,Cher,https://www.azlyrics.com/c/cher.html
59,Genesis,https://www.azlyrics.com/g/genesis.html
60,Olivia Newton-John,https://www.azlyrics.com/n/newtonjohn.html
61,James Taylor,https://www.azlyrics.com/j/jamestaylor.html
62,Stevie Wonder,https://www.azlyrics.com/w/wonder.html
63,David Bowie,https://www.azlyrics.com/b/bowie.html
64,Tina Turner,https://www.azlyrics.com/t/turner.html
65,Linda Ronstadt,https://www.azlyrics.com/l/lindaronstadt.html
66,Donna Summer,https://www.azlyrics.com/d/donnasummer.html
67,Beach Boys,https://www.azlyrics.com/b/beachboys.html
68,The Who,https://www.azlyrics.com/w/who.html
69,Barry White,https://www.azlyrics.com/b/barrywhite.html
70,Shania Twain,https://www.azlyrics.com/t/twain.html
71,Pink,https://www.azlyrics.com/p/pink.html
72,The Carpenters,https://www.azlyrics.com/c/carpenters.html
73,Lionel Richie,https://www.azlyrics.com/r/richie.html
74,"Earth, Wind & Fire",https://www.azlyrics.com/e/earthwindandfire.html
75,Johnny Cash,https://www.azlyrics.com/c/cash.html
76,Justin Timberlake,https://www.azlyrics.com/t/timberlake.html
77,Chris Brown,https://www.azlyrics.com/c/chrisbrown.html
78,Nicki Minaj,https://www.azlyrics.com/n/nickiminaj.html
79,R.E.M.,https://www.azlyrics.com/r/rem.html
80,Flo Rida,https://www.azlyrics.com/f/florida.html
81,Van Halen,https://www.azlyrics.com/v/vanhalen.html
82,Red Hot Chili Peppers,https://www.azlyrics.com/r/redhotchilipeppers.html
83,Foreigner,https://www.azlyrics.com/f/foreigner.html
84,The Doors,https://www.azlyrics.com/d/doors.html
85,George Michael,https://www.azlyrics.com/m/michael.html
86,Reba McEntire,https://www.azlyrics.com/r/rebamcentire.html
87,Meat Loaf,https://www.azlyrics.com/m/meatloaf.html
88,Tom Petty,https://www.azlyrics.com/t/tompettyandtheheartbreakers.html
89,Black Eyed Peas,https://www.azlyrics.com/b/blackeyedpeas.html
90,Maroon 5,https://www.azlyrics.com/m/maroon5.html
91,Journey,https://www.azlyrics.com/j/journey.html
92,R. Kelly,https://www.azlyrics.com/r/rkelly.html
93,Usher,https://www.azlyrics.com/u/usher.html
94,Kenny G,https://www.azlyrics.com/k/kennyg.html
95,Robbie Williams,https://www.azlyrics.com/w/williams.html
96,Tupac,https://www.azlyrics.com/19/2pac.html
97,Enya,https://www.azlyrics.com/e/enya.html
98,Alabama,https://www.azlyrics.com/a/alabama.html
99,Nirvana,https://www.azlyrics.com/n/nirvana.html
100,Bryan Adams,https://www.azlyrics.com/a/adams.html
101,Bob Marley,https://www.azlyrics.com/b/bobmarley.html
102,The Police,https://www.azlyrics.com/p/police.html
103,Barry Manilow,https://www.azlyrics.com/b/barrymanilow.html
104,Kiss,https://www.azlyrics.com/k/kiss.html
105,Aretha Franklin,https://www.azlyrics.com/a/arethafranklin.html
